Positive,has learnt the hard way that one should always carry an umbrella in Toronto.. 
Negative,cant sleep at all but so tired 
Positive,@ally13524 welcome! I keep meaning to ask.  We have had a few cases locally that they aren't taking seriously enough. I don't envy you. 
Negative,"...man, i want some Taco Time. "
Negative,@MmmBaileys I bet that smarted a bit1 
Negative,@ENewsNow she works with people that r 20+ yrs old! give her a break!! xoxo miley fan that stands up 4 her!!!!         
Negative,I wish I could get drunk! Just for one night!!!!  soon enough I guess.....
Negative,just got back from my aunt's house....now I have some homework to do 
Negative,"@tacce dang, I'll get HOUSE off iTunes. I hear it was a devastating episode "
Positive,The sun is shining 
Negative,@chlostick I know and it makes me sad 
Negative,"@vettuh i knowww, i love london. shame ill be spending alot of my time in norwich  im planning to stay in london for a week or two"
Positive,http://twitpic.com/6b3fx - i'm in love with these aviators and this necklace. 
Negative,@Biddygirl anything but a 3po model. their secondary functions are so last year and annoying 
Negative,your all being quiet today.... 
Positive,down the shore in the morning 
Negative,@framolamdu i thought it was the clone when i saw it so wasn't too upset but then found out he has definitely left the series 
Negative,"@JessObsess I was telling fan girls how Kate and Ryan AREN'T dating, and how Kate wasn't the one Ryan cheated with  (i knows the truth!)"
Negative,Monkey mans off to practice 
Positive,15 new products on the site http://ow.ly/ehhX  Bento boxes/ tiffins and necklaces! Check them out 
Negative,Revision done for tonight!  Got a weekend of the bloody stuff ahead of me yet though   Hows y'all?!
Negative,@blayze316 Oh no!! Sorry to hear that 
Negative,Back to wurk-and im still not recovered from the weekend 
Positive,@deannapappas aww what a bummer! well atleast u know u won't miss ur flight ;) so u gonna go see &quot;vegas&quot; 
Positive,"@Rsltruly You're very, very welcome  Night! &lt;33"
Positive,Can't get my brain to work. Listening to music whilst sitting on the balcony is a way better option 
Positive,Today feels like Summer for the first time 
Positive,Hey #DisneyRecords peace  love ya.   (DisneyRecords live &gt; http://ustre.am/3non)
Positive,Tomorrow morning I'm going to IHOP I gotta taste for pancakes
Positive,killing me softly with his words 
Positive,Envy those with rainbow hair and facial piercings. Damn this lifestyle to which I've become accustomed. 
Positive,"@10rdBen That, Sir Abraham, is a fantastic approach. Thank you. "
Negative,"Wish I was in school.... No work, no school. Sounds great, right? It's really not "
Positive,"Trouble!?!?!  Us???  Don't be silly!  FUN, now thats more like it!  Buy me something   hehe"
Positive,Online banking... A challenge gotta be able to have access to my fortune 
Negative,up early with a stomach ache 
Negative,"@LaineMithra Ohhh, I can't keep up "
Negative,gtg I might not see  you guys till monday   ATT: Cali  stop acting like you know how to drive in the rain :/ Killer cars today! BYE BYE
Positive,"@its_shea You're right, our waitress last night at the Knick was awesome! "
Negative,"@nicolebianco your twitter icon doesn't show up... you should reupload it, or change it, or something. it's just blank "
Negative,Why you should not publish Bidvertiser ads. http://is.gd/tbKa -- I need my Google Adsense back. 
Positive,@jaaypeezy sounds fun. 
Positive,had a great mom's day.  very relaxing and very loved-mostly loved 
Positive,@futureai09 i know and first hour doesn't start til 11:00!!!! 
Positive,i'm having pizza tonight! wooo 
Negative,"@krystlewallis, i was just listening to teagen and sara, and it reminded me of you. Is it teagan? Who knows? I miss california. "
Negative,@kannaa hmm yep..! Tuesday to friday! I went with huangy! But it ended up being 40 each cause we has ghey dessert and $15 sapporo... 
Positive,Good morning all 
Negative,"@ak618 I can barely make them, usually I miss the first inning  today I had a meeting after church &amp; got there after nate's hr"
Positive,Get the message out!&quot; -Gary Skinner 
Positive,"@SarahNicholas No contest then, home wins "
Negative,No one ever calls me to hang out anymore... what did I do?! 
Negative,*cries* i dont want to do this anymore 
Positive,@xmaydayxparade we should all go to my house 
Negative,i definitely need someone to console me 
Negative,I miss my LA bitches &amp; wanna think up a scheme 2 get them 2 move to NY...no ideas yet 
Negative,@Afficionados_HH defeated  miss L won't come over for roast. Rainchecked for tomorrow - by gee it better be good!
Positive,I'm watching invader zim!  and eating toaster struttles 
Negative,@beardandbeers I forgot my jacket at the Barbary last night.  I suck.  
Negative,"Cooked breakfast, cleaned dishes, did laundry, cleaned house. Now got to cut grass "
Negative,2moro back 2 sckool after 4 dayz of fun it sucks!!!!!!! 
Positive,@DJtriplethreat LOL SHES PRETTY TOO 
Negative,"Had to wake up early for WASL,  . But on the bright side its really purtee outside!!!!"
Positive,"@sirajdatoo Oh cool, thanx "
Negative,works today sucks.. 
Negative,@KyKyKCQueen whyyyyy?  is this a bad thing?
Negative,the weather is kind of ugly. 
Negative,Up sick since 4am 
Positive,mtv's rocking it up 
Negative,Just got home. Feel so guilty have missed praying time 
Negative,"i'm sorry i'm neglecting you, twitter. "
Negative,"@Ronaaa aw  yes, i'll hopefully talk to you very soon! i'll let you know when i'm on msn xxx"
Positive,http://twitpic.com/6brpc - On the way to JB 3d 
Positive,#IranElection VOTE FOR ME BY FOLLOWING ME  FOLLOW ME FOLLOW ME FOLLOW ME REOW
Positive,@Artandmylife Go on....you know you want to really    Hope you had a lovely weekend in the wilds
Negative,Feeling shi**y... 
Positive,"Such AWESOME new Fat Princess screen shots from the @PlayStationEU Flickr photostream, loving it! Check it out here!; http://bit.ly/SgslG "
Negative,@RealAudreyKitch  i totally start following you and you catch the flu. my bad i sowy i made you sick =X hehe
Positive,@YoungMrFudge That makes it all that much sadder 
Negative,my sonic screwdriver pen just broke. only doctor who fans will understand the loss i am suffering 
Positive,"I'm feeling really good today. I have lots of energy...@djrighteous -You know, You Are What You Think! Thanks for Thinking Positive "
Negative,Fully Gutted Guys Cant Find Season 2 Of True Blood Anywhere 
Negative,"Tired today, still need to go to gym "
Negative,ugh i feel sick to my stomach i think i ate something bad 
Positive,enjoying this sunshine 
Positive,"@MissKatiePrice we love you katie, stay strong  xx"
Positive,@karakaejames you guys have a great time on your trip...I am jealous! Yes it is Stephanie! 
Positive,"Girls and other creatures, mark the date 9/18/09 in your calendars and call everything off - cause it's Dollhouse Season 2 premiere ! "
Negative,hmm. getting sentimental. this sucks. i miss u guys already 
Positive,@lisanicolec Hehe! Reply to either I will get any messages to send  It is all to do with the limit...this is my way round it!
Positive,oh snap ang can drive on the freeway lol. drive went good  next drive is tomorrow
Positive,Goodnight world  talk to yall lataz...
Positive,"@GeorgePoles Me too. But was thinking it's got to be worth a look, even if some of the greats aren't there. It's still a great movement! "
Negative,Holding job app for adult bookstore. Tired of getting taken advantage of while trying to build a career. Screw having a career. 
Positive,"lol one of my new fav things 2 do, drive by my ex's house holdin Laina hand an flip my ex off  im so mean!"
Negative,"@southernweather how much would it rule if we woke up one day, looked out our windows, and were looking into each other's faces? i'd cry "
Negative,@amazingamanda My wife had a pretty good possibility of working in Italy and we were psyched about that but it ended up falling through 
Positive,"At work again! Last day before my &quot;weekend&quot;  yay!!! Also, I brought my phone and a book to the booth. I'm all set."
Negative,What a freaking day....plottter down too forever to print my plans 
Negative,Dont feel well 
Negative,Well done doing blood work..its hot out again 
Positive,eating coco rocks 
Negative,"K, I forgot about my twitter account! Who's following me? Anyone?? I don't think I have any friends on here..... "
Negative,@boobsie_lu you should make plans to say hello to the friend you forgot..  lol
Positive,Earl was in my pocket all along 
Positive,"@Hameed_Hemmat Yes they r.  Cuz wants Cavs to win EC; says LAL matches up better vs them. I just want CC to win, period. Longshot but ... "
Positive,finished the music reviews!! yay!! only 3 more pieces to go! which means? it's now time to get trashed  xoxox
Positive,check out my new channel banner and layout its off the hook 
Negative,I'm going to miss my Family 
Negative,I'm in Vermont. Lots of trees and hills. Oh and only Edge network so far. 
Positive,@chriswalts You're intoxicatingly awesome. Best. Straight. Partner In Crime. Ever 
Positive,"is happily aware of the fact that my hormones run crazy, constantly, and that my mood impacts...well, everyone!  "
Positive,"@kathleenfoucart @leahclifford Tempting, tempting! I say that as soon as school's out I plans some ROADTRIPS! "
Positive,"hey guys this is @theofficialemma and I just wanted to say sorry , my brother changed the password bye guys love you all  - good night  xD"
Negative,Hanging out at home! Alone.  @ Home http://loopt.us/9-ilNA.t
Positive,"brb, gotta check freezer for whats going  bbq.  back soon.   "
Negative,@AyoTwiz werd boo? u cheatin on me again? 
Positive,i can see clearly now the rain is gone.. 
Positive,Making music...as I have been lately. Orlando was a blast! Lots of memories. I feel happy right now. Chill...Ready for another day! 
Negative,Wishes she was going to crave AND soccer   mr.Decatur show tonight
Negative,Its 10 pass 1 - nothing happened in streets - i don't know if it was fake news  ! #iranelection
Positive,"On a spiteful note, S - &quot;No, It Isn't - +44&quot; that song's yours "
Positive,Cherries and licorice... unexpected but GREAT combo! 
Negative,i'm neglecting my twitter  BOOHOO lolz... so who's up?!
Negative,Hate young annoying chavvy kids. Shops been full of them today  haha 
Positive,@thebutchcaucus this is sooo NOT ur last tweet...stop lying to the tweeple  lol YOU HAVE AN ADDICTION!!!
Positive,@DBhai thanks buddy! looks like u been missing from action for many days! 
Positive,"Severe weather warning for the Midlands, nice. Will finish reading book and maybe do some website stuff. Oh, morning all. "
Negative,doesn't sound so great at all  http://is.gd/JslB #palmpre
Negative,asjkd;adlsjf;alsjdk im poor  I need money.
Positive,Okay off to the East later. 
Positive,@lutomes Nice work 
Positive,@PattinsonRobT I am sorry about that. if it helps I just like your job and wish you the best 
Positive,"i may be broke, but i'm the proud new owner of my very first piece of 'real' art "
Negative,@ShelbyRayne Ugh it doesnt feel like it 
Positive,Is watching the finals game 2 
Negative,@TheRealJordin yeah! LeBron  all his hardwork's gone.
Positive,@RehmaH P.S I like urdu tweets ( i cudnt fi it into teh previous one  )
Positive,I dont believe myself !!! I started working on weekends 
Negative,i fear i need cigarettes and sleep for philosophy in the morning 
Positive,"Planning on what to buy May 19th, the day I go to Borders "
Positive,"Sixteen days left of school...then two work days, then I'm done for the summer! "
Negative,Need to get outside today. Atmosphere's a bit rarified in the house... 
Positive,Lovin &quot;&quot;The Panics -  Check them out - http://bit.ly/ABXcX  - 
Positive,Goooing to get driiiinks 
Positive,"Reading reviews, posting blogs, and hanging out in my pajamas "
Positive,YAAYYY finally the ringing in the ears is gonee i can hear youu 
Negative,wants a hug  lol.
Positive,Arrived at Segarrrrra with @alick36 @Dribbby @Cantib @Karrrin Yufi and Didee 
Positive,"Wow, the office looks spotless today "
Positive,Happy tetris day! probably the most time i ever spent playing a single  game since i was a kid and i still do  http://is.gd/QAVI
Negative,i just made pasta tuna cucumber peppers sweet chilli sauce balsamic vinegar and hunnnners of pepper. it was shite 
Negative,@DHughesy I am at home  to broke to go out and party lol.
Negative,leaving my laptop to make/learn my german.. i'll miss you 
Negative,OKAY BED TIME I NEED TO WAKE UP TOMOROW 
Negative,germany lost another time...  our song wasn't that bad...
Negative,im offically dying.....im lying on the ground in pain 
Negative,"@Karageorgakis They hurt my ears, unfortunately "
Positive,@afox98 Thank you for endless. Have Sarto Comedy and Lauren Cecilia (both on my shortlist) in size &amp; color I need! And $.05 under my max. 
Positive,"Good morning, erm, Afternoon. just sort the kit out - it still works "
Positive,@lalayu LMAO! Probably. They don't want someone as popular as you bringing the company down 
Positive,@Synterra @wildblog @stayfreshnews Thankoos for the follows! 
Negative,my phone keeps glowing and I keep think I have a text but it's only to saw low battery 
Positive,@JeremySharp Hehe  Nice!
Positive,http://twitpic.com/3nnpg - More awww 
Negative,i miss shelby 
Positive,"@heytherekate yeah prob not, it's not really their fault that they're so sucky! thank you "
Negative,@Michellexstar I tried real hard and couldn't find anyone to go with 
Positive,The top of the Sears Tower is pretty sweet 
Negative,bff had a baby boy yesterday!!! welcome baby &quot;Cougar!&quot; i wish we weren't so far apart 
Positive,What UP! 
Negative,Good fun at Ascot but not so lucky  well worth it
Positive,@candyandpotter:  why didn't u ask Greg y he was n town?  As gutsy as u r I would have thot u'd b all over it.  
Positive,"@tommcfly tom ! Marvin is so cute!, he seems  garfield  haha"
Positive,i really need 2 start revising! :-S   ....think ill go in2 town instead! 
Positive,@SoCalFishJ awww - Doctor Who is AWESOME 
Negative,@vino_delectable I hid all the knives.... but I forgot the spoons. 
Negative,I have thee worst hangover ever..... gonna go for a dip in the pool see if I can shake it off 
Negative,Overwhelmed with stuff. This weekend &amp; all of next week are gonna pass by so fast... 
Positive,Making videos for facebook with the besties. Want one? Call us 
Positive,@JonathanRKnight Coffee will take care of that...or nodoz...Na than you'll have way to many bad habits to break   
Negative,@____Michelle you bettet comeover later! 
Positive,"@preethzzz Well technically speaking, I am not an illusion. My body is. The atma can't be considered as an illusory object! "
Negative,@LexLockdown No! I'm at work until 4!  It's killing me!!!
Positive,goodnight world :] getting up early to surprise sami wiff david! hahaa 
Negative,R.I.P @cassiewowlovely 
Positive,morning! Its going to be another lovely day I can see it already 
Negative,this time last week danni was here. getting ready to go. 
Positive,"@ChrisAxe lol, I've been before, I'm pretty good at it. Not going though. "
Negative,lol I know the feeling. And he's gettin married in 2 wks.  LOL @PauseProof
Positive,My daughter said shit yesterday....oops!!! Time for daddy to start watching his mouth 
Positive,"ahh; what an idiott. jared, I'm so glad there is a few of us left. "
Positive,"hi there, want to make your own blog/website? try our new service zfuse! http://zfuse.blogs.mu , professional version coming soon "
Positive,trying to make plans. text me 
Positive,65 days 22 hours 49 minutes to go.... gulp! 
Negative,I don't want to die at 69!  http://bit.ly/17996h
Positive,@Amir7  Sending prayers to u and ur family 
Negative,Shen computer just broke  Time to get the old IBM out...
Positive,I'm so stupid! It's Star Wars Day!!! May the 4th be with you!!! 
Positive,@ownedgrrl does that help any? 
Positive,I so lookin 4ward 2 the 24th! Thanks um! Wohoo! .... Go wash ur cock 
Negative,"@catsbroom Clue me in, i still can't find people "
Negative,Listening 2 the radio 2 Lisa with Hallelujah. How is it possible someone can mess up a great song like that - don't like this version... 
Negative,"@superfro432 I do not, however, have any booze.  Sads."
Negative,@Taeshi Hue is my baby  i love him dearly. Character design for spectrum spelunker is my fault.
Negative,I'm feeling good--finally!  Now tomorrow I double my dosage and I'm sure I'll be tired all week again.    #fb
Positive,@keks190 Thanks..&amp; Gd Luck With College  What Are You Doing In College??
Positive,Yeah i did ... And it was! Just kidding... This is really Katie but really just kidding 
Positive,Grad night is amazing! The lines are moving and i told indiana jones I loved him. Now its onto thunder mnt 
Positive,@Jayda_Diamonde WoW! looking good Jayda.Nice outfit 
Positive,Link: &quot;Network&quot; ouvert  http://tumblr.com/xrh1r0f06
Positive,"@Tortue That was what I did, going to see the movie tomorrow afternoon "
Negative,im so tired... gas tank on empty... 
Positive,"@wilbossman I see notifications on facebook but my page won't load, doh, time to go now! Have fun Bossman  @Rocket_Minions &lt;3 &lt;3 &lt;3 &lt;3 &lt;3"
Negative,@firebolts  YOU'RE NOT THE ONLY ONE.
Positive,Aghh college friends!!! Welcome to twitter @Alliekkat3 and @lcbrockm 
Positive,@MichaelMarti nada I was just mocking bella 
Negative,Morning! Up early as today's the day the removers arrive to take my books into storage. 
Positive,@haveacupofJOE TOEEEEEE 
Positive,"@brookehavenxxx You're welcome Brooke, I hope you're feeling better "
Negative,Baby bluejays all around my house. Sooooo cute 
Negative,It's coming up to two hours that's we've been refreshing Tokio Hotel. I official give up on the website and trending topics. 
Negative,Multi-vitamins turn my pee dark yellow. 
Negative,@caniszczyk Agreed! Though Eclipse apps hinder collecting the heap dump by catching OOME. Had to muck about in JConsole 
Negative,Is missing her daddy 
Negative,Dang going to church instead of sleeping!  oh no no fun...... Id rather go to back to bed but oh well....... Text me please!
Negative,@KirstieMAllsopp .....and she didn't even have the courtesy to spell your surname correctly Kirsty! 
Negative,I am wearing my sunglasses inside and i have no one to party with 
Negative,"I went to sleep, then woke up again a couple of hours later. I hate not seeing her online when I wake up  I miss her "
Positive,@lilrox2001 Enjoy the Fleetwood Mac Show...I gotta wait until September to see my Brad. Glad you're getting your Lindsey FIX 
Negative,@USEOFFORCEENT so sorry for your loss honey  I hope the hurt will heal soon for you
Positive,"holy smokes i haven't tweeted for a while! well.. in case i pull another 24 hour tweet-drought.. good morning, good evening &amp; goodnight. "
Positive,"@DavidArchie Pls record a Christmas song saying Merry Christmas in different languages!  I'm in HK,will b looking for your CDs in the bar"
Positive,At chilli's 
Positive,Um... sorry to all my tweeps... just ignore the blips... I forgot that blips  automatically post on twitter. So so sorry! 
Negative,http://twitpic.com/7g641 - My puppy max. But he isnt a puppy anym0re. 
Positive,"Well good bye cruel cruel world lol, PO Twetter Peeps, Till we Tweet again "
Negative,Work is going by a tad bit slow today...nothing crazy or exciting going on. Boo. 
Negative,Very sorry for Malkin. I think there is a chance he could be left without Stanley Cup. And no World Cup  
Negative,@QueenOfBlending  That's Never Happened To Me But I Would Cry If It Did!  Sorry
Negative,"just got done fishing, only caught a little one "
Positive,@LaurenConrad oh no! ur dress doesnt fit! i would freak out lol im sure ull figure it out and look ah-mazing like usual 
Positive,i was sitting on the floor @ wollies people were looking at me strangly. + im having a raging party this weekend haha that guy was funny 
Negative,"sick! could be swine flu!! i do work with pigs &gt;.&gt; lol. but still, i am ill "
Positive,Beach day s0unds perfect right n0w 
Positive,has been working on music all weekend and is rather chuffed with the results 
Negative,major headache 
Negative,@VictoriaNoelx3 Ha shut upp. I'm super sad right now. 
Negative,OUCH! my earphones just shocked me 
Positive,(@simonmcw) telling kerry to shut the fuck up 
Negative,Damn it! On Follow Friday I lost a follower! 
Positive,"around with erika, erin, leah and kelsey "
Positive,FIRST day was blahh  medyo minalas ako :| aahaha
Positive,@myoung95 No recipe. I'm just a damn chef  Did you make a book list?
Positive,@RealMiIey can you follow me? 
Negative,@xhorrorkittenx omg! i didn't think accountants worked weekends haha. oh man that sucks 
Negative,our rooster thinks 8:30 is early cos he's a lazy bastard. just because he can beat me up 
Negative,"WISH I HAD A BOO, WE WOULD GO TO THE BAR AND TELL EACH OTHER HOW WE LOVE BEING TOGETHER "
Negative,"weighing if she should accept a complicated, yet very lucrative, sideline. -I'm not sure I have the time to spare for an additional load "
Negative,"@Embow1 think I'm okay though Steve deserted me this evening, think he's not feeling well "
